"","stars","author","review_counts","review"
"146","5","Colleen W.","47 reviews","    I bought this because Amazon was having a sale where you could get it for around $100 I think. I bought it on a whim thinking I may like reading my books on there and being an artist, I could put my portfolio on there. Having a kindle fire has by far exceeded my expectations. I use this almost every day and I love it. I can watch netflix on it, read my books, browse Pinterest. I didn't want to buy an iPad because I wasn't sure if I would use it hence why I thought the kindle would be good. I'm so glad I did, it has everything I could want and I couldn't be happier.   "
"147","4","Jen R.","29 reviews","    My kids got these for Christmas and I really love that you can grant parental controls. This helps me limit their screen time without have a huge fight telling them to put it down    "
"148","4","Rebecca U.","30 reviews","    I used to have an HDX, but my kids broke it, so this is a replacement for it. Its a bit harder to use, in my opinion. Takes a while for me to find apps/things I stored to cloud. I do not like that it has no restart option-you have to turn it off, then back on again. But, it holds quite a bit of stuff, has fairly fast web browsing, and is adequate for what I do. If you are looking for a better sound/video quality I would go for the more expensive HDX. If you like to read and browse the internet, this one will do ya.    "
"149","5","Megan M.","11 reviews","    We own two of these. One I bought for my 10 year old and one for myself. Great tablet. Love the Amazon underground that has games with unlimited levels and lives. Great picture. I didn't want anything too big and this is perfect. I do wish it was a little louder especially when I'm streaming video but I pair it with my blue tooth speakers and it's fine. And they are currently on sale for under $50 on Amazon so can't complain. Easy to use. Good App Store. Highly recommend    "
"150","4","Allison A.","22 reviews","    Its very simple to use however I hate the ads that pop up on the lock screen. I also don't like that you cannot customize the background screens like on other tablets. It works really well for shopping on Amazon and the kids area is great. If you're looking for a great reader or if you only want to play games its a great tablet. Not all games are available on the Amazon store, and some things wont download at all because there isn't enough room on the tablet.    "
"151","4","Kim P.","26 reviews","    I love my Amazon kindle fire tablets and have purchased 4 of them now! Mine from 2013 still works great, and is my favorite! I also purchase 2 this past summer and they work great too. The newest model ($49) is my least favorite due to a narrower screen and no Swype. However overall these are great tablets with consistent performance! I have Amazon prime so purchase items from their store with free shipping, read their books, and watch videos all on my tablet! It has basically replaced my laptop for me! I've used ipads at work and prefer the use friendly and much more affordable kindle fires!   "
"152","5","Kyla B.","4 reviews","    I got this tablet for my 11 year old son to replace another tablet that took a tumble down a flight of stairs. We've had this tablet for a little while now and have ZERO complaints. The graphics are amazing for videos and games and the processor is speedy. He loves reading on his tablet now and can actually get a full color graphic novel as well. This is an awesome tablet for the price tag and I highly recommend!   "
"153","4","Katherine A.","7 reviews","    This is an upgrade from my original Kindle. I much prefer the backlit screen and larger size. While I still mostly use my Fire as a book, it is a much easier way to check my email or find something online than my smartphone is. I'm old-fashioned I guess but with the cover my Fire feels like I'm actually holding a book. The battery lasts a reasonable amount of time, unlike my phone, and if I'm running low on power it will charge as I read and get ahead of me. There a lot of features I haven't even started to use. I keep liking it better and better.   "
"154","3","Jessie B.","3 reviews","    I bought this tablet specifically for downloading books and reading. For that purpose it performs pretty well. However, as an overall tablet it could be better. The battery life is my main reasoning behind the rating. Even though I only use the tablet for reading, I have to charge the device daily or it will die. On your lock screen, ads are displayed when the tablet is not in use. This does not bother me, but may be a factor to others. Also, it runs pretty slowly and I have noticed some glitching when trying to switch between simple apps.    "
"155","5","Christy W.","14 reviews","    It's worked for everything I needed it to work for. I got it in cobalt green - not black. I really like that it does what I need it to do, quickly. I do wish it had a more clear/crisp volume - it sounds distorted at times, and I wish I had gone with the larger screen option, but I do like it enough not to ever buy a tablet again .. it's just more sturdy feeling, even. Overall, very satisfied. :)   "
"156","5","Rachel G.","6 reviews","    I bought this for my 10-year-old for Christmas and he loves it. The parental contols are really important to me, and Amazon has me covered. I have Amazon Prime and I'm really happy that I can share that with my son. We recently read a book together on our Kindles, and I think that was pretty exciting for him. He is kind of a slob, so I got the blue kid protector, just in case. So far my 3 year old has dropped it 100 times, but it still works just fine! I'm loving the Fire tablets!    "
"157","3","Brooke S.","29 reviews","    I love how lightweight and portable this tablet is. The battery runs very quickly so I constantly have to bring my charging cord with me if I will be using it for a few hours. I bought a Bluetooth keyboard for it and now use this tablet to take notes in class rather than bringing my laptop, and it has worked great for that. I do not like that you cannot change the background to something appealing to you (the background changes and appears as different ads).   "
"158","5","mary k.","133 reviews","    Tablet works pretty well for.internet browsing. had I to do it over I would have purchased a table with acess to the andriod store. holds up pretty well. husband has one in lifeproof case. son in no case, has bee. dropped, no cracks. mine got stepped on, crack in side and directly. across, but still works just fine, no issues with looking at screen. daughters got cracked in multiple places, also works fine and you can still see to do what you need to do.    "
"159","5","Lauren B.","8 reviews","    We bought our sons, each one In March 2015. Our sons are 8 and 5. We love the controls for being able to turn off wifi. They love the tablets. The only app that they've wanted to download but was not supported was the Crayola app for color alive. The mostly use them for Minecraft. But they are durable. We've taught them to take care of them, too. My youngest son loves the Little Critter stories that he an choose to have it read to him.   "
"160","5","Rosalie G.","40 reviews","    We recently purchased two of these for two of our children. Favorite part is that you can set up different time limits for different activities and have varying limits depending on the day of the week. So during the week they have short time limit on the device and then the limit is extended for Saturday and completely blocked off for Sunday (that is no electronics allowed day). This is nice that we don't have to keep going g to them to change the limit every day. You can also make the time limits vary between apps and books. We allowed longer time for books.   "
"161","5","Alisha J.","315 reviews","    My kids and I recently were given Kindle Fires for our Christmas gifts. I'm loving it! I use mine for reading because I can carry an entire library in my purse. The kids are more App happy. They love the educational games. There are a lot of free apps available through Amazon, which is great.    "
"162","5","Heather S.","6 reviews","    We LOVE our Kindles! We just bought our fifth one for our five year old daughter. We love the app options. We love how easy they are to use as readers. We love that she can watch Netflicks, play ABC Mouse, or have a book read to her. It's not a huge investment, for great quality!   "
"163","5","mike b.","11 reviews","    This product is very good works very well would recommend to any one also all the apps you get very good very affordable feels good screen looks clear and good   "
"164","5","Raquel S.","12 reviews","    My kid has dropped this, left it in the car in cold weather, and forgets to charge it for days and this thing still works perfectly. Used for games and reading books. The price is so great for what you get. Bought more memory for it and it can hold lots of music and games.    "
"165","5","Keri D.","48 reviews","    I primarily use this tablet for reading and it's been great. The size and weight are perfect. The screen is very clear. The few apps I do have downloaded work wonderfully. The browsing speed is great. The camera is not the best, but that was not why I purchased it.    "
"166","5","Ashlie H.","12 reviews","    I bought this tablet looking for something with a big enough and good enough quality screen for me to be able to read books on it and not bother my eyes and this was s hit! It was amazing you can change the brightness the text size the color of the text, you can customize it to your eyes. Most definitely a great product, would obviously recommend it to anyone!   "
"167","4","Jenna B.","33 reviews","    I bought this for my youngest son. I love the fact that you can put parental controls on it that allow you to control a lot of the extras. Example every time he wants to download something he has to have me put in a code this way I can check it out before agreeing to the purchase of whatever he wants to download. This product works every well for my 7 year old.   "
"168","4","MaryGrace C.","14 reviews","    I bought this as an upgrade from my 1st generation Kindle Fire. The picture is greatly improved from the first and the external volume control is greatly appreciated. I feel that the battery life isn't as good, but it makes up for it in visual quality.   "
"169","3","Trish D.","57 reviews","    I bought this for my son for Christmas. I thought it would be a great way to keep him reading, playing his games and having Amazon Video.It is really not that user friendly. My son has now figured it all out for the most part, but there isn't a whole I would be able to do on it without really sitting and playing with it and probably using YouTube.   "
"170","5","Cara S.","28 reviews","    I love this, it does everything I need with good speed quality. Movies and TV shows come in crystal clear. I love the size for its portability. I just got one for my twelve year old and she set it up with ease. Mom can finally have her own tech back   "
"171","5","kim b.","9 reviews","    Normally, I stick with Apple products, but I bought this as a Christmas gift for my grandson, not wanting to spend a lot in a tablet. I have to say this tablet packs a pretty big punch. The clarity is wonderful. Nice size screen, you don't have to strain to see. The are plenty of apps to download that are free and many good ones for kids. Books are not plentiful in the free price range as many are for other tablets. Over all this is a Big Bang for your buck <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>it. Highly recommended.    "
"172","5","Michelle H.","6 reviews","    I got this as a gift for my daughter. She LOVES it. There have been no issues with it whatsoever. i wish I would have gotten the same one for myself. I spent a little more money on another brand for myself thinking that it would be better and well it was definitely NOT. Should have gotten another Fire HD for me too. next tablet will be a Fire   "
"173","5","Bruce L and Michelle C.","15 reviews","    I use this mainly to read books, it's been great, I do occasionally take it on trips as well and use it more as a small version of my laptop, lol! I do love it! The screen is bright, and very crisp picture, easy to skip around, easy to use.   "
"174","4","Alexis O.","9 reviews","    I like this tablet. For the price, it can't be beat. The good: Speakers are improved on earlier models. The screen is clear and processing is fast enough for my needs. The bad: Low battery warning is sporadic. It will tell me I have 10% battery and die two minutes later. I do encounter internet crashes more often than I would like too.   "
"175","5","Ryan D.","2 reviews","    I bought 2 of these for my kids for Christmas and they love them. They can play free games and watch movies. I added parental controls on them which is amazing because I do not have to worry about them buying anything.Recommend!!!!   "
"176","4","Irene R.","8 reviews","    Love love love my tablet! not expensive, works fast and does what I need it to do. I wish I got one with more storage but that's OK. I mainly let my kids use it for videos and games and I enjoy watching Hulu on it or reading.    "
"177","5","Rose L.","36 reviews","    I bought this so I could read and this ended blip being the best tablet for my child. It has no case and it's the most durable thing ever. It has no scratches no cracks and he is a boys boys. I also love that it can be customized so I have control over so much. The time limits, the media he is able to access, I love it!    "
"178","3","Cassi M.","4 reviews","    Bought this for my 3 year old son for road trips and airplane rides. The ""FreeTime"" app is perfect for toddlers as they can't get in to anything they aren't suppose to. But the apps hardly ever download if you want a new one for them to play. Doesn't notice but if I'm paying a monthly fee then I want all the apps to work. "
"179","4","Emily S.","29 reviews","    I gifted this to a family member a couple years ago. To this day it works really great and they absolutely love it. I think it's really great for older, less tech-savvy people. It's easy to use and has great battery life!   "
"180","5","Lizzy K.","315 reviews","    Amazing tablet. I got the fire hd 7 when itbfirst came out and I still haven't updated. my version does not have a camera but I don't née one as I have so many devices with cameras. everything else is amazing. I can see it fairly well outside. not as good as the paper whites but it does the job. the Amazon app store is not a wide as others but has a lot of good options. I love amazon and kindle and will always support them!   "
"181","4","Breyanna B.","10 reviews","    This tablet is great for the price! I got it on a black Friday deal for like $99! The only problem is that there is a $15 charge to have the ads taken off the homescreen which I think diminishes the good price factor.   "
"182","5","Katie R.","12 reviews","    My entire family uses our Kindle and we all love it. We use it to read books, play games, etc. Amazon has great customer service, too, so I'm happy to support their company. Overall a great product, and a great upgrade to the Kindle we purchased a couple of years ago - faster, lighter, higher definition!   "
"183","4","Jennifer M.","9 reviews","    Perfect for my daughter! I was a little bit concerned about the lack of SD expansion, but that doesn't seem to be an issue so far. What I absolutely love is that we can set up profiles for everyone in the family. I'm considering getting another one for myself when I get ready to replace my Samsung tablet.   "
"184","4","Jennifer H.","4 reviews","    Love this tablet so far. Love the bright,clear screen resolution and the tablet in general. Sound is amazing. The only downfall is that it seems to lag a little bit. I have researching this issue and I'm going to check to see if there are a lot of running apps open on it which would explain the slowness.   "
"185","4","Julie R.","101 reviews","    I bought this tablet for my 7 year old son. How can you go wrong with a $35 tablet. That is the price that I paid during Black Friday on Amazon. I am a Amazon Prime Member. With that service I have lots of shows and movies that I can stream. My son has access to all of the same services that I do. That is what makes this so worth the money. He can stream without paying for data. The screen is small but so is he.    "
"186","5","Jody S.","18 reviews","    The selection of kindle books and the amount of free games through amazon underground make this one of the best purchases for the price I've seen. I bought it on Black Friday so that made the deal even better.   "
"187","5","Lily C.","32 reviews","    I own this tablet.! and it's really good :) i love the dolby audio system <3 what i don't like about it, is that it doesn't allow me to use skype, but everything else is just great, specially at that price.!   "
"188","4","Meghana L.","5 reviews","    Got this for christmas and absolutely love it. Not as high tech as my iPad so if you want continuous use I would go with the iPad but this tablet is great for occasional use for Netflix and online shopping!    "
"189","3","member-8ceb21bff","7 reviews","    It's ok, but can be slow if using for other things besides reading. Have problems staying connected to internet. I'm now in the process of looking at another type to upgrade to. Probably will not purchase another kindle for seven though the price is better than some other brands.   "
"190","5","Katrina G.","19 reviews","    I love to read on it. I love having a bigger screen than my phone provides me with. The battery life is decent, more or less what I expected from using it so much. And I love the way that you can store your content in the cloud and it won't take up any room on the tablet.   "
"191","4","Megan L.","4 reviews","    I love this product because it is very inexpensive, and it provides me with everything I could get with the more expensive tablets. I purchased it for the books, but I also love watching Netflix and other like services on the device. The only real issue I have with it is having to restart my Kindle each time I want to watch Netflix because otherwise it gives me an error.    "
"192","5","Candi S.","15 reviews","    Love it. This tablet is great and meets all my needs. I can even game on it! Highly recommend getting a memory card to go with it just in case. The camera isn't the best but works in a pinch.   "
"193","5","Rebecca C.","13 reviews","    So easy to use .so fast . So many perks like free apps and music . I also purchased the amazon case and that is equally good quality would highly recommend to anyone searching for a tablet!!!   "
"194","5","Julie B.","6 reviews","    I love fire tablet. I use it every day. It's easy to navigate and family friendly. I like that I can adjust. the brightness of the screen when I'm reading at night so I don't bother anyone else with the light. This is my second amazon tablet and I would buy one again.   "
"195","5","Rebecca O.","45 reviews","    Love it works awesome and is pure quality images of the best I have it for 3 years never once broken screen good doesn't break it doesn't do anything it's just really resistible to any girl   "
"196","5","JOSE G.","37 reviews","    Super practica para leer, ver videos, facil de usar, super portable y llena de momentos de entretenimiento, practica para viajar. Checas correo electronico, ves videos, puedes hacer compras en linea, en fin para todo lo que puedes hacer en tu celular y mas.   "
"197","5","angela w.","13 reviews","    Love my kindle fire! this is my third one! LOL so convenient for looking up recipes when I am cooking in the kitchen or for watching a television show when I am relaxing on the couch. Love!   "
"198","4","Allyssa D.","26 reviews","    I love everything about this tablet and how it's focused around reading. You can't beat the style of it with any other tablet or ereader on the market. I would know: I've owned a Nook and a kobo and this is by far the best. Though nothing can beat a real book.    "
"199","4","Lorece S.","10 reviews","    I love my fire tablet. Because I have amazon prime, I love how seamless it is for me to look at movies, read, and listen to music. The only thing I don't like is the internet browser and the lack of support from outside things that only connect to iPads.    "
"200","3","Hallie B.","12 reviews","    I had high expectations for my Amazon kindle fire HD 7 and truthfully it disappointed me. I'm sure it would probably be perfect for using it as just an e-reader but I got it for browsing the Internet. It is super slow and tends to shut down unexpectedly.    "
